,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,LapTimeSeconds
53,0 days 01:03:56.472000,4,,1.0,0 days 00:23:45.247000,,,0 days 00:00:30.655000,0 days 00:00:40.863000,,0 days 01:03:15.739000,0 days 01:03:56.656000,342.0,319.0,211.0,270.0,False,MEDIUM,1.0,True,1,0 days 01:02:14.632000,McLaren,NOR,26,False,2021-09-12 13:03:16.241,
54,0 days 01:05:26.603000,4,0 days 00:01:30.131000,2.0,,,0 days 00:00:32.179000,0 days 00:00:29.369000,0 days 00:00:28.583000,0 days 01:04:28.651000,0 days 01:04:58.020000,0 days 01:05:26.603000,315.0,313.0,311.0,280.0,False,MEDIUM,2.0,True,1,0 days 01:03:56.472000,McLaren,NOR,67,False,2021-09-12 13:04:58.081,90.131
55,0 days 01:06:52.676000,4,0 days 00:01:26.073000,3.0,,,0 days 00:00:28.148000,0 days 00:00:29.302000,0 days 00:00:28.623000,0 days 01:05:54.751000,0 days 01:06:24.053000,0 days 01:06:52.676000,312.0,313.0,310.0,316.0,False,MEDIUM,3.0,True,1,0 days 01:05:26.603000,McLaren,NOR,1,True,2021-09-12 13:06:28.212,86.07300000000001
56,0 days 01:08:19.404000,4,0 days 00:01:26.728000,4.0,,,0 days 00:00:28.493000,0 days 00:00:29.526000,0 days 00:00:28.709000,0 days 01:07:21.169000,0 days 01:07:50.695000,0 days 01:08:19.404000,309.0,310.0,308.0,315.0,False,MEDIUM,4.0,True,1,0 days 01:06:52.676000,McLaren,NOR,1,True,2021-09-12 13:07:54.285,86.72800000000001
57,0 days 01:09:45.713000,4,0 days 00:01:26.309000,5.0,,,0 days 00:00:28.215000,0 days 00:00:29.395000,0 days 00:00:28.699000,0 days 01:08:47.619000,0 days 01:09:17.014000,0 days 01:09:45.713000,310.0,313.0,307.0,,False,MEDIUM,5.0,True,1,0 days 01:08:19.404000,McLaren,NOR,1,True,2021-09-12 13:09:21.013,86.30900000000001
58,0 days 01:11:12.239000,4,0 days 00:01:26.526000,6.0,,,0 days 00:00:28.257000,0 days 00:00:29.582000,0 days 00:00:28.687000,0 days 01:10:13.970000,0 days 01:10:43.552000,0 days 01:11:12.239000,308.0,310.0,309.0,334.0,False,MEDIUM,6.0,True,1,0 days 01:09:45.713000,McLaren,NOR,1,True,2021-09-12 13:10:47.322,86.52600000000001
59,0 days 01:12:39.023000,4,0 days 00:01:26.784000,7.0,,,0 days 00:00:28.530000,0 days 00:00:29.498000,0 days 00:00:28.756000,0 days 01:11:40.769000,0 days 01:12:10.267000,0 days 01:12:39.023000,309.0,310.0,311.0,311.0,False,MEDIUM,7.0,True,1,0 days 01:11:12.239000,McLaren,NOR,1,True,2021-09-12 13:12:13.848,86.784
60,0 days 01:14:05.489000,4,0 days 00:01:26.466000,8.0,,,0 days 00:00:28.231000,0 days 00:00:29.520000,0 days 00:00:28.715000,0 days 01:13:07.254000,0 days 01:13:36.774000,0 days 01:14:05.489000,312.0,310.0,311.0,319.0,False,MEDIUM,8.0,True,1,0 days 01:12:39.023000,McLaren,NOR,1,True,2021-09-12 13:13:40.632,86.46600000000001
61,0 days 01:15:32.037000,4,0 days 00:01:26.548000,9.0,,,0 days 00:00:28.340000,0 days 00:00:29.503000,0 days 00:00:28.705000,0 days 01:14:33.829000,0 days 01:15:03.332000,0 days 01:15:32.037000,311.0,313.0,309.0,317.0,False,MEDIUM,9.0,True,1,0 days 01:14:05.489000,McLaren,NOR,1,True,2021-09-12 13:15:07.098,86.548
62,0 days 01:16:58.727000,4,0 days 00:01:26.690000,10.0,,,0 days 00:00:28.270000,0 days 00:00:29.641000,0 days 00:00:28.779000,0 days 01:16:00.307000,0 days 01:16:29.948000,0 days 01:16:58.727000,,312.0,309.0,316.0,False,MEDIUM,10.0,True,1,0 days 01:15:32.037000,McLaren,NOR,1,True,2021-09-12 13:16:33.646,86.69000000000001
63,0 days 01:18:25.390000,4,0 days 00:01:26.663000,11.0,,,0 days 00:00:28.278000,0 days 00:00:29.613000,0 days 00:00:28.772000,0 days 01:17:27.005000,0 days 01:17:56.618000,0 days 01:18:25.390000,314.0,313.0,311.0,319.0,False,MEDIUM,11.0,True,1,0 days 01:16:58.727000,McLaren,NOR,1,True,2021-09-12 13:18:00.336,86.66300000000001
64,0 days 01:19:52.694000,4,0 days 00:01:27.304000,12.0,,,0 days 00:00:28.142000,0 days 00:00:30.234000,0 days 00:00:28.928000,0 days 01:18:53.532000,0 days 01:19:23.766000,0 days 01:19:52.694000,320.0,310.0,311.0,335.0,False,MEDIUM,12.0,True,1,0 days 01:18:25.390000,McLaren,NOR,1,True,2021-09-12 13:19:26.999,87.304
65,0 days 01:21:20.017000,4,0 days 00:01:27.323000,13.0,,,0 days 00:00:28.426000,0 days 00:00:30.023000,0 days 00:00:28.874000,0 days 01:20:21.120000,0 days 01:20:51.143000,0 days 01:21:20.017000,310.0,309.0,312.0,332.0,False,MEDIUM,13.0,True,1,0 days 01:19:52.694000,McLaren,NOR,1,True,2021-09-12 13:20:54.303,87.32300000000001
66,0 days 01:22:47.149000,4,0 days 00:01:27.132000,14.0,,,0 days 00:00:28.557000,0 days 00:00:29.800000,0 days 00:00:28.775000,0 days 01:21:48.574000,0 days 01:22:18.374000,0 days 01:22:47.149000,302.0,310.0,311.0,314.0,False,MEDIUM,14.0,True,1,0 days 01:21:20.017000,McLaren,NOR,1,True,2021-09-12 13:22:21.626,87.132
67,0 days 01:24:13.830000,4,0 days 00:01:26.681000,15.0,,,0 days 00:00:28.378000,0 days 00:00:29.621000,0 days 00:00:28.682000,0 days 01:23:15.527000,0 days 01:23:45.148000,0 days 01:24:13.830000,305.0,312.0,311.0,318.0,False,MEDIUM,15.0,True,1,0 days 01:22:47.149000,McLaren,NOR,1,True,2021-09-12 13:23:48.758,86.68100000000001
68,0 days 01:25:40.327000,4,0 days 00:01:26.497000,16.0,,,0 days 00:00:28.187000,0 days 00:00:29.511000,0 days 00:00:28.799000,0 days 01:24:42.017000,0 days 01:25:11.528000,0 days 01:25:40.327000,312.0,312.0,311.0,317.0,False,MEDIUM,16.0,True,1,0 days 01:24:13.830000,McLaren,NOR,1,True,2021-09-12 13:25:15.439,86.497
